epoch,train_loss,val_loss,test_loss,train_prec1,val_prec1,test_prec1,train_prec5,val_prec5,test_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
110,"tensor(0.0957, device='cuda:0')","tensor(0.3618, device='cuda:0')","tensor(0.3716, device='cuda:0')","tensor(96.7889, device='cuda:0')","tensor(90.0600, device='cuda:0')","tensor(89.4900, device='cuda:0')","tensor(99.9867, device='cuda:0')","tensor(99.5600, device='cuda:0')","tensor(99.5300, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
111,"tensor(0.0905, device='cuda:0')","tensor(0.3732, device='cuda:0')","tensor(0.3769, device='cuda:0')","tensor(96.9000, device='cuda:0')","tensor(89.3200, device='cuda:0')","tensor(89.6100, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.7400, device='cuda:0')","tensor(99.5800, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
112,"tensor(0.0936, device='cuda:0')","tensor(0.3439, device='cuda:0')","tensor(0.3564, device='cuda:0')","tensor(96.8133, device='cuda:0')","tensor(89.8600, device='cuda:0')","tensor(89.6200, device='cuda:0')","tensor(99.9889, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.5700, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
113,"tensor(0.0881, device='cuda:0')","tensor(0.3535, device='cuda:0')","tensor(0.3799, device='cuda:0')","tensor(96.9533, device='cuda:0')","tensor(90., device='cuda:0')","tensor(89.3700, device='cuda:0')","tensor(99.9889, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.5700, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
114,"tensor(0.0882, device='cuda:0')","tensor(0.3484, device='cuda:0')","tensor(0.3674, device='cuda:0')","tensor(96.9289, device='cuda:0')","tensor(89.8800, device='cuda:0')","tensor(89.6700, device='cuda:0')","tensor(99.9867, device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.6200, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
115,"tensor(0.0871, device='cuda:0')","tensor(0.3486, device='cuda:0')","tensor(0.3663, device='cuda:0')","tensor(96.8778, device='cuda:0')","tensor(90.0400, device='cuda:0')","tensor(89.8100, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.7200, device='cuda:0')","tensor(99.4500, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
116,"tensor(0.0825, device='cuda:0')","tensor(0.3563, device='cuda:0')","tensor(0.3638, device='cuda:0')","tensor(97.1978, device='cuda:0')","tensor(90.0600, device='cuda:0')","tensor(89.6600, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.5700, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
117,"tensor(0.0831, device='cuda:0')","tensor(0.3526, device='cuda:0')","tensor(0.3639, device='cuda:0')","tensor(97.1311, device='cuda:0')","tensor(90.0400, device='cuda:0')","tensor(89.6400, device='cuda:0')","tensor(99.9844, device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.6600, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
118,"tensor(0.0859, device='cuda:0')","tensor(0.3706, device='cuda:0')","tensor(0.3707, device='cuda:0')","tensor(97.0600, device='cuda:0')","tensor(89.5400, device='cuda:0')","tensor(89.5400, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.6600, device='cuda:0')","tensor(99.5400, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
119,"tensor(0.0820, device='cuda:0')","tensor(0.3424, device='cuda:0')","tensor(0.3650, device='cuda:0')","tensor(97.2111, device='cuda:0')","tensor(90.5000, device='cuda:0')","tensor(89.9600, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.7800, device='cuda:0')","tensor(99.6600, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",119,"tensor(89.9600, device='cuda:0')"
