epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
94,"tensor(0.0908, device='cuda:0')","tensor(0.3513, device='cuda:0')","tensor(3.0740, device='cuda:0')","tensor(10.2200, device='cuda:0')","tensor(0.0260, device='cuda:0')","tensor(0.3600, device='cuda:0')"
95,"tensor(0.0894, device='cuda:0')","tensor(0.3523, device='cuda:0')","tensor(2.9520, device='cuda:0')","tensor(10.0400, device='cuda:0')","tensor(0.0180, device='cuda:0')","tensor(0.3400, device='cuda:0')"
96,"tensor(0.0870, device='cuda:0')","tensor(0.3518, device='cuda:0')","tensor(2.9020, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0220, device='cuda:0')","tensor(0.3400, device='cuda:0')"
97,"tensor(0.0840, device='cuda:0')","tensor(0.3573, device='cuda:0')","tensor(2.7860, device='cuda:0')","tensor(10.0400, device='cuda:0')","tensor(0.0240, device='cuda:0')","tensor(0.3200, device='cuda:0')"
98,"tensor(0.0850, device='cuda:0')","tensor(0.3555, device='cuda:0')","tensor(2.9020, device='cuda:0')","tensor(9.9600, device='cuda:0')","tensor(0.0280, device='cuda:0')","tensor(0.3000, device='cuda:0')"
99,"tensor(0.0815, device='cuda:0')","tensor(0.3597, device='cuda:0')","tensor(2.6860, device='cuda:0')","tensor(10.0600, device='cuda:0')","tensor(0.0220, device='cuda:0')","tensor(0.2800, device='cuda:0')"
100,"tensor(0.0822, device='cuda:0')","tensor(0.3676, device='cuda:0')","tensor(2.7260, device='cuda:0')","tensor(10.2500, device='cuda:0')","tensor(0.0300, device='cuda:0')","tensor(0.3100, device='cuda:0')"
101,"tensor(0.0796, device='cuda:0')","tensor(0.3650, device='cuda:0')","tensor(2.5940, device='cuda:0')","tensor(10.1300, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.2900, device='cuda:0')"
102,"tensor(0.0777, device='cuda:0')","tensor(0.3657, device='cuda:0')","tensor(2.5440, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0300, device='cuda:0')","tensor(0.3000, device='cuda:0')"
103,"tensor(0.0782, device='cuda:0')","tensor(0.3672, device='cuda:0')","tensor(2.7040, device='cuda:0')","tensor(10.1100, device='cuda:0')","tensor(0.0240, device='cuda:0')","tensor(0.3200, device='cuda:0')"
